iter	Passed	Remaining
402	11275	16702
403	11301	16672
404	11786	17316
405	11827	17303
406	11853	17270
407	11889	17250
408	11930	17239
409	11960	17211
410	11986	17178
411	12007	17136
412	12031	17101
413	12056	17065
414	12081	17029
415	12106	16995
416	12131	16960
417	12156	16925
418	12181	16890
419	12214	16867
420	12245	16841
421	12280	16819
422	12318	16802
423	12343	16768
424	12368	16733
425	12393	16699
426	12418	16664
427	12443	16629
428	12468	16595
429	12496	16564
430	12520	16529
431	12548	16499
432	12573	16464
433	12606	16440
434	12631	16406
435	12657	16373
436	12681	16338
437	12719	16319
438	12748	16290
439	12776	16260
440	12830	16263
441	12853	16226
442	12878	16192
443	12903	16158
444	12933	16130
445	12963	16102
446	12988	16068
447	13015	16036
448	13039	16001
449	13064	15967
450	13089	15933
451	13113	15898
452	13141	15868
453	13166	15834
454	13192	15801
455	13217	15768
456	13244	15737
457	13278	15713
458	13312	15690
459	13347	15668
460	13416	15686
461	13454	15667
462	13479	15633
463	13502	15598
464	13525	15561
465	13550	15527
466	13575	15494
467	13601	15461
468	13640	15443
469	13663	15407
470	13687	15372
471	13712	15339
472	13736	15304
473	13760	15269
474	13789	15241
475	13813	15206
476	13866	15203
477	13892	15171
478	13923	15144
479	13954	15117
480	13978	15082
481	14003	15049
482	14031	15018
483	14062	14991
484	14087	14959
485	14127	14941
486	14158	14914
487	14183	14880
488	14208	14847
489	14234	14815
490	14260	14783
491	14288	14753
492	14321	14727
493	14354	14703
494	14391	14681
495	14427	14659
496	14455	14630
497	14480	14596
498	14504	14562
499	14529	14529
500	14555	14496
501	14581	14465
502	14609	14435
503	14635	14403
504	14661	14371
505	14687	14339
506	14712	14306
507	14738	14274
508	14763	14241
509	14787	14207
510	14822	14184
511	14848	14152
512	14884	14130
513	14941	14127
514	14965	14093
515	14991	14061
516	15016	14029
517	15050	14004
518	15075	13971
519	15100	13938
520	15128	13908
521	15169	13890
522	15194	13858
523	15220	13826
524	15245	13793
525	15269	13760
526	15294	13727
527	15318	13693
528	15353	13670
529	15386	13644
530	15421	13620
531	15458	13598
532	15500	13580
533	15525	13548
534	15551	13516
535	15575	13483
536	15600	13451
537	15637	13428
538	15661	13395
539	15703	13377
540	15743	13357
541	15771	13327
542	15796	13294
543	15821	13262
544	15846	13229
545	15877	13201
546	15913	13178
547	15973	13175
548	16001	13145
549	16026	13112
550	16049	13078
551	16075	13046
552	16099	13013
553	16123	12980
554	16154	12952
555	16179	12920
556	16204	12887
557	16231	12856
558	16254	12823
559	16296	12804
560	16322	12773
561	16347	12740
562	16373	12709
563	16398	12677
564	16433	12652
565	16464	12624
566	16497	12598
567	16534	12575
568	16588	12565
569	16613	12533
570	16638	12500
571	16678	12480
572	16708	12451
573	16733	12418
574	16773	12397
575	16797	12364
576	16820	12331
577	16850	12302
578	16875	12270
579	16913	12247
580	16938	12215
581	16970	12188
582	17032	12182
583	17068	12158
584	17095	12127
585	17133	12104
586	17157	12071
587	17181	12038
588	17221	12016
589	17259	11993
590	17284	11961
591	17329	11943
592	17354	11911
593	17379	11878
594	17404	11846
595	17429	11814
596	17463	11788
597	17495	11761
598	17530	11735
599	17569	11713
600	17608	11690
601	17634	11658
602	17659	11626
603	17683	11593
604	17715	11566
605	17739	11533
606	17764	11501
607	17789	11469
608	17814	11437
609	17839	11405
610	17865	11374
611	17889	11341
612	17915	11310
613	17952	11286
614	17992	11263
615	18024	11236
616	18084	11226
617	18110	11194
618	18135	11162
619	18160	11130
620	18186	11099
621	18211	11067
622	18236	11035
623	18261	11003
624	18285	10971
625	18311	10939
626	18335	10907
627	18360	10876
628	18385	10844
629	18411	10812
630	18435	10781
631	18469	10754
632	18494	10722
633	18527	10695
634	18562	10669
635	18600	10645
636	18638	10621
637	18663	10589
638	18687	10557
639	18712	10525
640	18737	10494
641	18762	10462
642	18812	10444
643	18836	10412
644	18861	10381
645	18888	10350
646	18928	10327
647	18953	10295
648	18991	10271
649	19019	10241
650	19043	10209
651	19071	10179
652	19138	10170
653	19168	10140
654	19193	10109
655	19218	10078
656	19249	10049
657	19280	10021
658	19306	9989
659	19330	9957
660	19367	9932
661	19393	9901
662	19417	9869
663	19453	9843
664	19477	9812
665	19500	9779
666	19524	9747
667	19551	9717
668	19581	9688
669	19616	9662
670	19650	9634
671	19685	9608
672	19721	9582
673	19748	9552
674	19773	9520
675	19798	9489
676	19825	9459
677	19849	9427
678	19873	9395
679	19899	9364
680	19925	9333
681	19950	9302
682	19974	9270
683	19998	9239
684	20027	9209
685	20058	9181
686	20084	9150
687	20111	9120
688	20136	9089
689	20201	9075
690	20228	9045
691	20252	9014
692	20278	8983
693	20303	8952
694	20328	8921
695	20352	8889
696	20377	8858
697	20418	8834
698	20445	8804
699	20470	8772
700	20495	8742
701	20540	8719
702	20566	8688
703	20596	8659
704	20624	8629
705	20655	8601
706	20688	8573
707	20721	8546
708	20754	8518
709	20809	8499
710	20850	8475
711	20876	8444
712	20901	8413
713	20926	8382
714	20950	8350
