iter	Logloss
0	0.6695837852
1	0.6434278323
2	0.6310023967
3	0.6119197809
4	0.5929454769
5	0.5754078612
6	0.5634685677
7	0.5511007952
8	0.5383851433
9	0.5294404742
10	0.5188213589
11	0.5105414265
12	0.5033658901
13	0.4963630243
14	0.4929287261
15	0.487111439
16	0.481858847
17	0.4746467551
18	0.4712383243
19	0.4652194211
20	0.4578269552
21	0.4534249988
22	0.4493138456
23	0.4456431442
24	0.44363334
25	0.4398261434
26	0.4365122225
27	0.4346741072
28	0.4286691856
29	0.4244120522
30	0.420668162
31	0.416555951
32	0.4140367641
33	0.4119104696
34	0.4078002656
35	0.4056400346
36	0.4046529356
37	0.4034225121
38	0.4015698319
39	0.4012730665
40	0.3999112774
41	0.3972788822
42	0.3955381682
43	0.3941994777
44	0.3935107785
45	0.3915496607
46	0.3905145296
47	0.3883066035
48	0.3872017701
49	0.3858417413
50	0.3845752038
51	0.3835454271
52	0.3813985911
53	0.3813328095
54	0.3807175603
55	0.3797811729
56	0.3784233815
57	0.3774163335
58	0.376013449
59	0.3749823272
60	0.3744314567
61	0.3725600838
62	0.370401537
63	0.3703396127
64	0.3701226549
65	0.370060045
66	0.3693316555
67	0.3685479863
68	0.3676812152
69	0.3669333375
70	0.3652247672
71	0.3651654506
72	0.3646096315
73	0.3628820181
74	0.3628070582
75	0.3623119597
76	0.3621593971
77	0.3604469367
78	0.3595373365
79	0.358263269
80	0.3573295411
81	0.3570102136
82	0.35663902
83	0.356505424
84	0.3563222102
85	0.3554250121
86	0.3543971144
87	0.3531462769
88	0.3527482899
89	0.3518692717
90	0.3511263031
91	0.350924981
92	0.3504069592
93	0.3504025624
94	0.3501966345
95	0.3500944687
96	0.3486276117
97	0.3483328592
98	0.3474535476
99	0.3467083019
100	0.3466362953
101	0.3462037828
102	0.3453682165
103	0.3442831904
104	0.3441506565
105	0.344142822
106	0.343830214
107	0.3431467183
108	0.3427377959
109	0.341926827
110	0.3415450164
111	0.3407330339
112	0.3406731166
113	0.3399712605
114	0.3388148807
115	0.338682793
116	0.3378719921
117	0.3366582811
118	0.3358895184
119	0.335809547
120	0.3353188672
121	0.3345916353
122	0.3345916313
123	0.3339996614
124	0.3339996611
125	0.3329612963
126	0.331791086
127	0.3313803544
128	0.3310362221
129	0.3306131846
130	0.330123383
131	0.329522174
132	0.3290840527
133	0.328896287
134	0.3283455579
135	0.327728249
136	0.3273628153
137	0.3273216952
138	0.326326397
139	0.3259012962
140	0.3250775461
141	0.3246947443
142	0.3245874967
143	0.3244917508
144	0.3237384457
145	0.3235629924
146	0.3231270916
147	0.3230762884
148	0.3221290891
149	0.3221109588
150	0.3218286556
151	0.3216356219
152	0.3213009119
153	0.3209635368
154	0.3209073086
155	0.3207265186
156	0.3205838266
157	0.3205375899
158	0.3202544354
159	0.3200179055
160	0.3199896163
161	0.3197613773
162	0.3195846021
163	0.3191936774
164	0.3189097469
165	0.3187398898
166	0.3181294389
167	0.31648928
168	0.3162526503
169	0.3152443074
170	0.3147803824
171	0.314308312
172	0.3138494914
173	0.3135506406
174	0.3129890004
175	0.312945043
176	0.3123091212
177	0.312232172
178	0.312029845
179	0.3114842246
180	0.3103047726
181	0.3101800251
182	0.3099165833
183	0.3091945302
184	0.3085750942
185	0.3082121147
186	0.3075239036
187	0.3071982598
188	0.3065559092
189	0.3059225783
190	0.3049898685
191	0.3034297828
192	0.3021726648
193	0.3020186617
194	0.301420072
195	0.3007891366
196	0.3004076114
197	0.3002047299
198	0.2999613125
199	0.2994754304
200	0.2991492737
201	0.298468009
202	0.2983352412
203	0.2982699351
204	0.2979697593
205	0.2977045019
206	0.2974455942
207	0.2973451031
208	0.2967004428
209	0.2962373107
210	0.2956842583
211	0.2952734859
212	0.2950148309
213	0.2934850345
214	0.2931588545
215	0.293063102
216	0.292786156
217	0.2923072305
218	0.2917092352
219	0.2913300035
220	0.2911746821
221	0.2909160689
222	0.2908208838
223	0.2906044303
224	0.2898243959
225	0.2889453209
226	0.288826491
227	0.288669584
228	0.2880378924
229	0.2880033681
230	0.2870603053
231	0.2869750017
232	0.2866312131
233	0.285967971
234	0.284973406
235	0.284677149
236	0.284459037
237	0.2843765325
238	0.2838332793
239	0.2827466843
240	0.2821536748
241	0.2819000472
242	0.2809172217
243	0.2806829241
244	0.2805284852
245	0.2799723918
246	0.2797910264
247	0.2794576043
248	0.2793710039
249	0.2787574456
250	0.2782430084
251	0.2773803031
252	0.2770206848
253	0.2769566131
254	0.276072842
255	0.2752276245
256	0.2750878761
257	0.2741214331
258	0.2740520206
259	0.2734545454
260	0.2724712482
261	0.2718855747
262	0.2711828726
263	0.2709358016
264	0.2706064473
265	0.2701310191
266	0.2689666389
267	0.2687666631
268	0.2685789571
269	0.2683016579
270	0.2679999786
271	0.2673131001
272	0.2669668694
273	0.2669242675
274	0.2658669476
275	0.2657976618
276	0.2653447165
277	0.2651881005
278	0.264656053
279	0.2633795907
280	0.2629918526
281	0.2626351907
282	0.2617458281
283	0.261290674
284	0.2609662095
285	0.2605227468
286	0.2601594713
287	0.2598379783
288	0.2592661732
289	0.2588808529
290	0.258782577
291	0.258594947
292	0.2584087859
293	0.2582466531
294	0.2579716222
295	0.2578970399
296	0.2568847487
297	0.2558154752
298	0.2557697684
299	0.2552264803
300	0.2551731792
301	0.2547358309
302	0.2541926052
303	0.2540011756
304	0.2536592295
305	0.2535354919
306	0.2534138475
307	0.2524179698
308	0.2517815663
309	0.2513674003
310	0.25032493
311	0.2503007562
312	0.2501827769
313	0.2497423123
314	0.2493262296
315	0.2487715171
316	0.2484993811
317	0.2480935381
318	0.2479011124
319	0.2477151029
320	0.2472281891
321	0.246672823
322	0.2451572528
323	0.245110404
324	0.2441496685
325	0.2435832053
326	0.2432402837
327	0.2424107106
328	0.2417144312
329	0.2414535416
330	0.2408544793
331	0.2395461778
332	0.2393259061
333	0.2392131028
334	0.2388860569
335	0.2388227528
336	0.2381531783
337	0.2380632807
338	0.238008856
339	0.2375957289
340	0.2371409098
341	0.2368029332
342	0.236152014
343	0.2360393444
344	0.2358062462
345	0.2356680528
346	0.2353499751
347	0.2352280884
348	0.2349350534
349	0.2342804886
350	0.2339749536
351	0.2331135248
352	0.232938732
353	0.2325888535
354	0.2324851424
355	0.2321017243
356	0.2318951301
357	0.2313296846
358	0.2303202852
359	0.230038825
360	0.2299480272
361	0.2294381062
362	0.2293429922
363	0.2290624772
364	0.2286622155
365	0.2277973186
366	0.2275901386
367	0.2267581019
368	0.2266531475
369	0.2263660612
370	0.2262541126
371	0.2261324129
372	0.2259630071
373	0.2259123463
374	0.2256079133
375	0.2252134439
376	0.2246265822
377	0.2241141989
378	0.2237788054
379	0.2230595133
380	0.2224499673
381	0.2221521069
382	0.2219037874
383	0.2213104708
384	0.2212767614
385	0.2205285621
386	0.2199484627
387	0.219686583
388	0.2188776162
389	0.2187401673
390	0.2182021141
391	0.2177458515
392	0.2177068634
393	0.2172956041
394	0.217230965
395	0.2168992945
396	0.216354531
397	0.2162881504
398	0.2160363414
399	0.2159369443
400	0.2158003784
401	0.2156286587
402	0.2151673005
403	0.2149136574
404	0.2146262247
405	0.2138876614
406	0.2136767297
407	0.2130446038
408	0.2124765559
409	0.2119661986
410	0.2118487935
411	0.2118198859
412	0.2116640038
413	0.2115555742
414	0.211402511
415	0.2112646742
416	0.2110024962
417	0.2104133244
418	0.2099097047
419	0.2093091606
420	0.2090733294
421	0.2085443497
422	0.2080301188
423	0.2079190341
424	0.2075493373
425	0.2073548416
426	0.2068189317
427	0.2065595032
428	0.2062341818
429	0.2058457921
430	0.2055000698
431	0.2054208478
432	0.2053535642
433	0.2049309274
434	0.2044147644
435	0.2037691477
436	0.2031104972
437	0.2025287053
438	0.2021927967
439	0.2019093128
440	0.2018615065
441	0.2016582254
442	0.2011696052
443	0.2007799837
444	0.2005505849
445	0.2005045755
446	0.2003859201
447	0.2003643888
448	0.200329066
449	0.199953558
450	0.1993296884
451	0.1990347836
452	0.1989525542
453	0.1981926944
454	0.1978532118
455	0.1974651657
456	0.1969680586
457	0.1965903346
458	0.1962425302
459	0.1960098847
460	0.1959825886
461	0.1957796548
462	0.1954777209
463	0.1952698588
464	0.1951137121
465	0.1948047926
466	0.1946162181
467	0.1939128646
468	0.1935058432
469	0.1934348424
470	0.1933128776
471	0.1932056611
472	0.1929124645
473	0.192791916
474	0.1921800975
475	0.1920489748
476	0.1914792666
477	0.191382197
478	0.1913046183
479	0.1909518137
480	0.1909207824
481	0.1907492699
482	0.1903786858
483	0.1902218217
484	0.1900765864
485	0.1899009546
486	0.1898609143
487	0.1896835349
488	0.1895891645
489	0.189139366
490	0.1888646748
491	0.1883961225
492	0.1880305712
493	0.1879909398
494	0.1877642446
495	0.1876710373
496	0.1870894688
497	0.1868096173
498	0.1864858871
499	0.1859690411
500	0.185825631
501	0.185428456
502	0.185026896
503	0.1847283041
504	0.1845249485
505	0.184419276
506	0.1837764143
507	0.1834963078
508	0.1833312912
509	0.1831993877
510	0.1830413348
511	0.1826399165
512	0.1825623434
513	0.1823372421
514	0.1821026215
515	0.1817470574
516	0.1813792774
517	0.1812382898
518	0.1806331311
519	0.1800258035
520	0.1794734828
521	0.179175317
522	0.1786720419
523	0.1782630365
524	0.1781724186
525	0.1779164593
526	0.1776606121
527	0.1774449968
528	0.1774104414
529	0.1770406459
530	0.1767240592
531	0.1765525848
532	0.176248335
533	0.1760343287
534	0.1758386487
535	0.1755749096
536	0.1751602248
537	0.1749126383
538	0.1745647912
539	0.174210279
540	0.1741082879
541	0.1740354789
542	0.1739830713
543	0.1739217789
544	0.1734736708
545	0.1731600491
546	0.1731452913
547	0.17312186
548	0.1729287325
549	0.1726564687
550	0.1722944762
551	0.1721760454
552	0.172160914
553	0.1720309723
554	0.1715917873
555	0.1713033676
556	0.1711319068
557	0.1709577957
558	0.1707188626
559	0.170640066
560	0.1703748729
561	0.1697840114
562	0.169765857
563	0.1690136227
564	0.1686778245
565	0.1685186686
566	0.1682160876
567	0.1679459949
568	0.1678452523
569	0.167394136
570	0.1670708863
571	0.1666042526
572	0.1664394292
573	0.1662509099
574	0.1661870496
575	0.1660208315
576	0.1659859209
577	0.1658719017
578	0.1657984861
579	0.1654001979
580	0.1648567866
581	0.1644807571
582	0.1644436554
583	0.1640049986
584	0.1638874178
585	0.1636965195
586	0.1632061735
587	0.1629406582
588	0.1627169432
589	0.1627011035
590	0.1625586963
591	0.1621080474
592	0.1620230103
593	0.161727439
594	0.1616395893
595	0.1614042946
596	0.161264505
597	0.161218964
598	0.1608762299
599	0.1607631521
600	0.1606432713
601	0.1602804331
602	0.160173695
603	0.1600850473
604	0.1600590118
605	0.1600337825
606	0.1598869249
607	0.1596685453
608	0.159319517
609	0.1589874202
610	0.1588167211
611	0.1586852429
612	0.1583534469
613	0.1583130232
614	0.1581842236
615	0.1580732551
616	0.1576894002
617	0.1575366142
618	0.1574880165
619	0.157298575
620	0.157273412
621	0.1567726775
622	0.1565715928
623	0.1565571483
624	0.1562906146
625	0.1558933582
626	0.1556395814
627	0.1553376917
628	0.1551392343
629	0.155031952
630	0.1548668691
631	0.1544597251
632	0.1543634387
633	0.1542259513
634	0.1539238368
635	0.1537759141
636	0.1537554537
637	0.1537050897
638	0.1533283513
639	0.1532227603
640	0.1530359067
641	0.152900043
642	0.1526428348
643	0.1524648256
644	0.152220966
645	0.1520098533
646	0.1517885811
647	0.1517789991
648	0.1517253106
649	0.1515476845
650	0.1512666381
651	0.150788863
652	0.1505088822
653	0.1503388268
654	0.1500999167
655	0.1498013241
656	0.1496964822
657	0.1494223054
658	0.1493373194
659	0.149173975
660	0.1490655851
661	0.1489945573
662	0.148879889
663	0.148858948
